YHR046C,YFR013W,YBR042C,YJL039C
YJR075W,YPR025C,YPR183W,YOR092W
YPR066W,YPR017C,YOL144W,YFR004W
YAL009W,YEL013W,YGL240W,YBL100C
YGL237C,YGR005C,YBR228W,YDR144C
YOL135C,YBR273C,YGR165W,YNR069C
YMR012W,YNL018C,YMR144W,YKL036C
YDR343C,YJL083W,YDR012W,YMR205C
YBR099C,YPR137C-B,YLR174W,YDR239C
YLR052W,YNL132W,YPR004C,YLL004W
YDR133C,YMR199W,YNL323W,YDR049W
YBL067C,YPL036W,YJL004C,YJL032W
YFR015C,YGR123C,YMR253C,YBR068C
YIL066C,YBR117C,YGL225W,YGL044C
YOR138C,YNR042W,YOL020W,YAL031C
YPL051W,YHR121W,YKL014C,YIR027C
YCR071C,YOR340C,YDR363W,YKL150W
YML065W,YIL032C,YGR201C,YCR041W
YMR089C,YGL029W,YJR135W-A,YJL006C
YJL212C,YLL047W,YMR266W,YIR010W
YHR182W,YDR374C,YDR107C,YHR114W
YML071C,YPL219W,YKL213C,YGR122W
YBR141C,YHR089C,YDL062W,YPR010C-A
YAR018C,YMR239C,YNR023W,YFL020C
YOR099W,YPL043W,YLR185W,YOL038W
YKR070W,YJR001W,YAL041W,YKL068W
YOR261C,YNL208W,YKL015W,YLR014C
YCR024C-A,YFR024C-A,YGL229C,YKR048C
YIL033C,YHR157W,YPL115C,YLR397C
YGL047W,YIL160C,YER025W,YBL043W
YHR211W,YMR251W,YDR365C,YDR070C
YBR078W,YER053C,YOR317W,YOR389W
YMR316W,YOR145C,YNL097C,YJR136C
YIL103W,YIL006W,YGR276C,YPL243W
YNL066W,YOR102W,YLR026C,YKL059C
YBL005W,YDR101C,YGR042W,YGL092W
YNR048W,YDR121W,YOR148C,YBR003W
YIL046W,YOL062C,YEL005C,YDL147W
YJR073C,YJL059W,YKL212W,YPL056C
YCR068W,YKL209C,YBR271W,YPL246C
YPR160C-A,YFR047C,YGR251W,YER066C-A
YDR223W,YER175C,YDR515W,YFL058W
YPL038W,YLL046C,YGL015C,YNL167C
YFR003C,YBL032W,YGL222C,YBR196C
YHR008C,YDL011C,YEL077C,YHR016C
YNL278W,YPL190C,YDR371W,YBL100W-A
YOL080C,YCL058C,YMR193W,YKR106W
YGR056W,YLR110C,YOL149W,YPL154C
YNR039C,YDL215C,YNR037C,YHR122W
YAL014C,YHR198C,YLR040C,YHL027W
YBR154C,YBR018C,YER020W,YBR045C
YOR140W,YKL105C,YDR009W,YNL011C
YER189W,YER122C,YGL139W,YHR012W
YBR119W,YPR068C,YMR111C,YBL064C
YLR456W,YLR199C,YDR108W,YPL204W
YHL007C,YFR037C,YJR067C,YOR065W
YDR424C,YDL097C,YDR465C,YMR278W
YBR052C,YCL007C,YOR245C,YPL216W
YDR511W,YGL120C,YGR188C,YMR177W
YBR302C,YGL233W,YDR224C,YPL120W
YGL014W,YLL037W,YLR267W,YOR025W
YLR117C,YHL046C,YNR022C,YPL139C
YLR144C,YKL188C,YLR077W,YJL111W
YMR125W,YOR212W,YBR258C,YOR309C
YIL017C,YBR047W,YKL089W,YGR271W
YMR296C,YJR113C,YBR167C,YLR369W
YOR344C,YKL149C,YOR331C,YLL006W
YGR131W,YFL062W,YHR209W,YMR041C
YNL187W,YBR183W,YIL101C,YBL059W
YPL013C,YGL133W,YKL011C,YGR110W
YBL095W,YKL084W,YNL266W,YMR225C
YMR074C,YCR048W,YPL106C,YDL143W
YHL047C,YKL203C,YOR087W,YIL144W
YER063W,YHR009C,YKR050W,YFR050C
YPL084W,YCL061C,YPL129W,YLR083C
YBR300C,YPL135C-A,YMR005W,YPL181W
YPR085C,YPL050C,YGL180W,YGR209C
YIL124W,YJL112W,YBR217W,YNR049C
